solanaAddress,allocation
6zwkuavBVvkJUH4QyGbJbtWEHwquZhN6oeBf8PMCbiB2,3000,
8VscAqKb25MRevqCgkduQdADh51qidAUD2SWetZrFvnb,3000,
G3HkMoaH8YcuscLQdtHgfqYXf2taMq1LCySMA54f3c4h,3000,
FBuBTD4wCRYrDi74PjRHAEdAyU7MKNdXoi6feDQ1X1m,3000,
9RucYpL96GNH7Javs8tkveqxRTB3xHXDYR6c5aqroazD,3000,
HaRWDt3nQrQBWRcfCJ72Z59NA1PT5nBpmLnsFJgipxYS,3000,
7taFxEi4Ee8wt8DBMJXHv8B8Py1h7dksfuJCGFqQsR6o,3000,
2USygZC4oQs7YFa38ZFjVJYVirLAAAfVgYQ85JA9JovZ,3000,
HC9SF1c8hJFrsbYuK6zaWu4LoKeoYPkJaZuAwSV7wh8R,3000,
DB12Dr1wnQtHeUokgsNf9emeFnTpNSK4txW1Z9eVH7qz,3000,
DakhH5D5sJioKkhChw14cTMt4HfK6bh5ueZBuV2YCBsZ,3000,
A52dDe5xGZxSN7qnvSSxpHJM8zabb9Tw4c8ggnm2RRkt,3000,
252J3PcqibeVXC3GPRw62fYKvuy9Jgs3wMfJpt1GumE1,3000,
2BomWeHQrioDVCVwV7Mh3PMDHe47JWrU5NXCH3i7QHSa,3000,
8ZzD5Nhwd6F4AdVYWoX9XBauQXT8A3gKjhNCZPco6Jr6,3000,
4usAJ1PrSSEkpJpkXbh4uBiy6BXFX5P2sqzt9aQZmKuc,3000,
4kYhBQtCBmVPRsEtypAcFZ5tLrN4X9As9EjhiSozg4um,3000,
5z4agvtBrTsKaHv4YsZmReDMb2xpF1j958hu2ze8MJAv,3000,
G4ChK5RkLpUEwWDcmWMikDp935RDs8mqfEFGP6pjRMP4,3000,
EZvyyD9wXDfLD54bXrBXMh7p8rrhkcGvXSF3yk8Rg75L,3000,
Bk75SrUNo74MMCZPrZF29iGfVXwMeeeUSfB9vF9hYigJ,3000,
Cj3dAP7XzSzZkum8GXy32yv5miQedsxLoa9ity8MrPvE,3000,
Gba48dZjUJq6GCiHRVdH6oy9WaM6MsBz4vWXdduLf5Ao,3000,
FnsoFiEENP5CpZapGFjhaGAxscdi18EJasvsMrVqUXVJ,3000,
5SBXZmu9rKpYfqHABgbZ9Uuj4S26SBEmskkq3KUUBCPi,3000,
7QDwMJ8ggESQh12r8fYRCL3EUnRtKTtDPFD8UwWGGVkT,3000,
NP6TYNeBmvzVNTPg4u2CkJQGbwx8cppRoz7pM4ZnvyK,3000,
3jBWQWRnZuGk6Fi7Xu4HnwbgKDPe3CNLTSttVooT5Ruy,3000,
BZx3ptydB7Daw45u2WAVruBEK8PQStPeomkrh28MjUz8,3000,
6nyQeExBRdMX9zbynyPUzvHJjuT5rhvftuM86mQkuqDT,3000,
2PB9raWLEdNZioSwdCvMsqkLccPj5yXU83P6riD3r2ya,3000,
Bz34iJQodZF3NDXumZrJWuQwhnrLzkTM3gHVftZsCH2j,3000,
Gs9Xnd1szQUnESM1vrpMPRkreZvz5p3DqLdkjxr5pnZ,3000,
GsyGXWCJr6u7LTCmgwYNsQprowL3TwxfGAmJLzSEwHBK,3000,
4QbzuEPYKzE1sYyFxHKnfZWcNfs6r7Le4G2rL52c2Sdc,3000,
8HhMwuCbQzKTJJN3UBKUq24YD6zK7kNZF6TQXNYkzkDY,3000,
FgFufoZ9XWHWnUFKStHWZaEG7UN2XPFubJWAEZQHzqbr,3000,
FAGeH5o1cpBFqv8z5mT5ajXPLRaiG8GGcY8weh5HRf9J,3000,
9LGYf568RN5s5BCe7Rtw1NANapyJUE19kCVfrHYayp5y,3000,
EQc7bH9BxZL7ZrvfeCPmob7rXcUUCF9Q4jTxLx5fSYpe,3000,
95D5U4MzAdEN6PcRhzymAfEMg3JkwmwxZYSeDQ481Cnp,3000,
BWdmiabuNePMmmtg7aaP219D4oPecvJxfoHkDo7LtzuD,3000,
27WvCVVQKGseCwZ64TPtYSKoncZwFi2GuC65NwaCSpzT,3000,
CgDVKXPnEsG93LgRdCTKYcf8fV1h2m6kJU6v9cC5x8c9,3000,
7C2kYfxhjoxZ8rFqCrMrp2hZp6ZynVEMeTPoAzd4kN3n,3000,
4FdUvxcRg7rSfKeWGVzXwKtyVfLpoCXU7Sdq3W9PuuhH,3000,
CVdWVD8QVXE3biNVQwuvzzhXtMSL5hxTT1nvE8fzGi52,3000,
4843t8quEw9ZABvvGNFgJgo4VZi6fRzVToMyK2Xd5tui,3000,
ByA8SJJHeCNaSkRhHFBAsdggYWbn2B2KVmUiRBuc5yWv,3000,
D5cg78NmdL1pJX7LaJmvCsQ3JRbqJvvFsmjt7NhiGfjf,3000,
HzjpbgWA8ep3QPXADB8FDuZzc6LxE1yAhHD3cJt7r1h4,3000,
7y8hf7JkPKGTn6cfWARoV6zAFT6WiEZAcNjiEdJyJXNR,3000,
DzHVo4VNKMFFVfvzHwvorvoXTvovNcKSFinnZGcAzbHj,3000,
ETaK3ViKYcTsnw5Xj88K9ZCdXHMSdyax832mpkP7Yw7s,3000,
CgQB6fMtJ1RAPrgxpXN8Mip3N1EdEo9a6EvV4HuMfGh5,3000,
BF8jo3neZCKbtxaLWYPqUv7dRYeGb4FYT8Tp2xSbWP2b,3000,
ASmntHnsxpLZnLPiFUzZmCPQdkmKmJHYjbyoueUQsXwF,3000,
2EKAsXraQp9etmTDvZFjkJ31UuKebVU4uNQeEZRsdZQP,3000,
F8jhk45fnJq7HkxDXcj6fjQQujjmSpz9eXNmUreZWaMk,3000,
CLZrtMqN4ZxQEiHsy3D1QrwRx1BqxtWbGkB6YSdKu6p3,3000,
